what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1340645139469
started,bundle,org.eclipse.emf.facet.widgets.nattable,0.1.2.v201202140823,"org.eclipse.emf.facet.widgets.nattable",1340645139487
started,bundle,org.eclipse.emf.facet.widgets.nattable.examples.ecore,0.1.2.v201202140823,"org.eclipse.emf.facet.widgets.nattable.examples.ecore",1340645139497
os,sysinfo,,,"macosx",1340645139501
arch,sysinfo,,,"x86_64",1340645139501
ws,sysinfo,,,"cocoa",1340645139501
locale,sysinfo,,,"fr_FR",1340645139501
processors,sysinfo,,,"2",1340645139501
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1340645139501
java.runtime.version,sysinfo,,,"1.6.0_33-b03-424-10M3720",1340645139501
java.specification.name,sysinfo,,,"Java Platform API Specification",1340645139501
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1340645139501
java.specification.version,sysinfo,,,"1.6",1340645139501
java.vendor,sysinfo,,,"Apple Inc.",1340645139501
java.version,sysinfo,,,"1.6.0_33",1340645139501
java.vm.info,sysinfo,,,"mixed mode",1340645139501
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1340645139501
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1340645139501
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1340645139501
java.vm.specification.version,sysinfo,,,"1.0",1340645139502
java.vm.vendor,sysinfo,,,"Apple Inc.",1340645139502
java.vm.version,sysinfo,,,"20.8-b03-424",1340645139502
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1340645139769
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1340645139772
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1340645139877
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1340645139921
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1340645140073
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1340645140141
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1340645140173
started,bundle,org.eclipse.m2m.atl.adt.ui,3.2.1.v20110914-0724,"org.eclipse.m2m.atl.adt.ui",1340645140227
started,bundle,org.eclipse.emf.validation.examples.adapter,1.2.0.v200901271722,"org.eclipse.emf.validation.examples.adapter",1340645140236
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1340645140328
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1340645140517
started,bundle,org.eclipse.emf.examples.library,2.5.0.v20120130-0943,"org.eclipse.emf.examples.library",1340645140610
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1340645140617
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1340645141180
started,bundle,org.eclipse.emf.validation,1.4.0.v20100428-2315,"org.eclipse.emf.validation",1340645141499
